                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.80525,                0.43174,                 1.0383,                0.98577,                      1,                0.98325,                0.72384,                 0.9946,                0.46085,                 1.1419,              0.0005348,              0.0005348,              0.0005348
                     77,                0.82533,                0.42839,                 1.0383,                0.97362,                0.98734,                0.97272,                0.70991,                 1.0079,                0.43537,                 1.1777,               0.000515,               0.000515,               0.000515
                     78,                0.84441,                0.46948,                   1.08,                0.98592,                      1,                0.98256,                0.71775,                0.98505,                0.41287,                 1.1321,              0.0004952,              0.0004952,              0.0004952
                     79,                0.78959,                0.42698,                 1.0393,                0.97384,                0.98734,                0.97419,                 0.7226,                      1,                0.42265,                 1.1423,              0.0004754,              0.0004754,              0.0004754
                     80,                0.84095,                0.43635,                 1.0721,                0.97399,                0.98734,                0.97658,                0.71601,                 1.0189,                0.42827,                 1.1632,              0.0004556,              0.0004556,              0.0004556
                     81,                0.79886,                0.40724,                 1.0459,                0.98643,                      1,                0.98637,                0.73158,                 1.0038,                0.42788,                 1.1437,              0.0004358,              0.0004358,              0.0004358
                     82,                0.80706,                0.43121,                 1.0474,                0.98651,                      1,                0.98487,                0.72774,                0.98671,                0.41961,                  1.125,               0.000416,               0.000416,               0.000416
                     83,                0.80212,                 0.4176,                 1.0465,                0.98657,                      1,                0.98412,                0.72808,                0.99241,                 0.4224,                 1.1219,              0.0003962,              0.0003962,              0.0003962
                     84,                0.79108,                 0.4395,                 1.0406,                0.98665,                      1,                0.98837,                 0.7282,                0.98639,                0.42032,                 1.1221,              0.0003764,              0.0003764,              0.0003764
                     85,                0.79819,                 0.4204,                 1.0295,                0.98657,                      1,                0.98725,                0.72445,                0.98997,                0.41668,                 1.1336,              0.0003566,              0.0003566,              0.0003566
                     86,                0.78469,                0.42827,                 1.0335,                0.98657,                      1,                  0.986,                0.71782,                 1.0022,                0.41718,                 1.1418,              0.0003368,              0.0003368,              0.0003368
                     87,                0.77295,                0.40532,                 1.0446,                0.98669,                      1,                0.98362,                0.72067,                0.99965,                0.40783,                   1.15,               0.000317,               0.000317,               0.000317
                     88,                0.78385,                0.41632,                 1.0209,                0.97397,                0.98734,                0.97956,                0.71966,                 1.0277,                0.41283,                 1.1799,              0.0002972,              0.0002972,              0.0002972
                     89,                0.79484,                0.40242,                 1.0418,                0.97379,                0.98734,                0.97839,                0.71993,                 1.0238,                0.41691,                 1.1641,              0.0002774,              0.0002774,              0.0002774
                     90,                0.78754,                0.40661,                  1.051,                0.97347,                0.98734,                0.97743,                0.72351,                 1.0056,                0.41057,                 1.1489,              0.0002576,              0.0002576,              0.0002576
                     91,                0.72217,                0.35833,                 1.0123,                0.97392,                0.98734,                0.97582,                0.71569,                  1.013,                0.40796,                 1.1614,              0.0002378,              0.0002378,              0.0002378
                     92,                0.71479,                0.35612,                0.98792,                0.97399,                0.98734,                0.97785,                0.70154,                 1.0249,                0.41375,                  1.174,               0.000218,               0.000218,               0.000218
                     93,                0.73761,                0.34634,                  1.015,                0.97406,                0.98734,                0.97967,                0.71237,                 1.0214,                 0.4152,                 1.1653,              0.0001982,              0.0001982,              0.0001982
                     94,                0.69118,                0.32993,                0.98122,                0.97417,                0.98734,                0.97964,                0.73497,                 1.0013,                0.41358,                 1.1509,              0.0001784,              0.0001784,              0.0001784
                     95,                0.70385,                0.34006,                 1.0128,                0.98669,                      1,                0.98712,                0.75063,                0.99984,                 0.4119,                 1.1487,              0.0001586,              0.0001586,              0.0001586
                     96,                0.68421,                0.32748,                0.98167,                0.98671,                      1,                0.98687,                0.73534,                0.99782,                0.40686,                 1.1447,              0.0001388,              0.0001388,              0.0001388
                     97,                0.70772,                0.33744,                0.98308,                0.98669,                      1,                0.98562,                0.72424,                0.99709,                0.40369,                 1.1446,               0.000119,               0.000119,               0.000119
                     98,                0.67827,                0.32819,                0.97509,                0.98672,                      1,                0.98525,                 0.7253,                0.98624,                0.40316,                 1.1418,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.69506,                 0.3322,                0.99367,                0.98673,                      1,                0.98562,                0.72318,                0.98068,                0.39853,                 1.1339,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.68386,                0.32996,                0.99025,                0.98673,                      1,                0.98562,                0.72384,                0.97473,                0.39596,                 1.1295,               5.96e-05,               5.96e-05,               5.96e-05
